category_id,title,product_code,qty,price,description,image,image1,image2,image3
6,BA0002,BA0002,1,26648.16,Beautiful diamond bangle with 241RD=4.19 339BQ=3.81 18KW_50.00G,/BA/BA0002/BA0002-1[PNG1].png,/BA/BA0002/BA0002-1[PNG1].png,/BA/BA0002/BA0002-2[PNG].png,/BA/BA0002/BA0002-3[PNG].png
6,BA0012,BA0012,1,25608,Beautiful diamond bangle with  2.01RD 6.70PR 18KW,/BA/BA0012/BA0012-1[PNG1].png,/BA/BA0012/BA0012-1[PNG1].png,/BA/BA0012/BA0012-2[PNG].png,/BA/BA0012/BA0012-3[PNG].png
6,BA0015,BA0015,1,21384,Beautiful diamond bangle with 302RD=3.80 18KW_36.50G,/BA/BA0015/BA0015-1[PNG1].png,/BA/BA0015/BA0015-1[PNG1].png,/BA/BA0015/BA0015-2[PNG].png,/BA/BA0015/BA0015-3[PNG].png
6,BA0055,BA0055,1,61776,Beautiful diamond bangle with 1845RD=14.75 18KW_101.00G,/BA/BA0055/BA0055-1[PNG1].png,/BA/BA0055/BA0055-1[PNG1].png,/BA/BA0055/BA0055-2[PNG].png,/BA/BA0055/BA0055-3[PNG].png
8,BA0066,BA0066,1,19245.6,Beautiful ruby bangle with 465RD=3.55 225RUB=11.00 18KW_51.50,/BA/BA0066/BA0066-1[PNG1].png,/BA/BA0066/BA0066-1[PNG1].png,/BA/BA0066/BA0066-2[PNG].png,/BA/BA0066/BA0066-3[PNG].png
6,BA0072,BA0072,1,20697.6,Beautiful diamond bangle with 412RD=6.55 146CHAM=3.76 18KT_45.00g,/BA/BA0072/BA0072-1[PNG1].png,/BA/BA0072/BA0072-1[PNG1].png,/BA/BA0072/BA0072-2[PNG].png,/BA/BA0072/BA0072-3[PNG].png
6,BA0087,BA0087,1,19768.32,Beautiful diamond bangle with 906RD=5.85 18KW_54.00G,/BA/BA0087/BA0087-1[PNG1].png,/BA/BA0087/BA0087-1[PNG1].png,/BA/BA0087/BA0087-2[PNG].png,/BA/BA0087/BA0087-3[PNG].png
8,BA0093,BA0093,1,16896,Beautiful ruby bangle with 121RD=1.20 150RUB=7.40 18KW_32.50G,/BA/BA0093/BA0093-1[PNG1].png,/BA/BA0093/BA0093-1[PNG1].png,/BA/BA0093/BA0093-2[PNG].png,/BA/BA0093/BA0093-3[PNG].png
9,BA0095,BA0095,1,12144,Beautiful sapphire bangle with 121RD=1.20 150SAP=7.40 18KW_32.50G,/BA/BA0095/BA0095-1[PNG1].png,/BA/BA0095/BA0095-1[PNG1].png,/BA/BA0095/BA0095-2[PNG].png,/BA/BA0095/BA0095-3[PNG].png
6,BA0097,BA0097,1,15840,Beautiful diamond bangle with 60PR=4.70 18KW,/BA/BA0097/BA0097-1[PNG1].png,/BA/BA0097/BA0097-1[PNG1].png,/BA/BA0097/BA0097-2[PNG].png,/BA/BA0097/BA0097-3[PNG].png
6,BA0113,BA0113,1,26648.16,Beautiful diamond bangle with 241RD=4.19 339BQ=3.81 18KY_50.00G,/BA/BA0113/BA0113-1[PNG1].png,/BA/BA0113/BA0113-1[PNG1].png,/BA/BA0113/BA0113-2[PNG].png,/BA/BA0113/BA0113-3[PNG].png
6,BA0248,BA0248,1,44880,Beautiful diamond bangle with 826CT=13.00 18KW_67.20G,/BA/BA0248/BA0248-1[PNG1].png,/BA/BA0248/BA0248-1[PNG1].png,/BA/BA0248/BA0248-2[PNG].png,/BA/BA0248/BA0248-3[PNG].png
6,BA0264,BA0264,1,29040,Beautiful diamond bangle with 906RD=5.85 18KY_54.00G,/BA/BA0264/BA0264-1[PNG1].png,/BA/BA0264/BA0264-1[PNG1].png,/BA/BA0264/BA0264-2[PNG].png,/BA/BA0264/BA0264-3[PNG].png
6,BA0267,BA0267,1,97680,Beautiful diamond bangle with 2223RD=24.15 18KW_59.00G,/BA/BA0267/BA0267-1[PNG1].png,/BA/BA0267/BA0267-1[PNG1].png,/BA/BA0267/BA0267-2[PNG].png,/BA/BA0267/BA0267-3[PNG].png
6,BA0268,BA0268,1,15491.52,Beautiful diamond bangle with 161RD=1.90 132BQ=1.60 18KW_45.00G,/BA/BA0268/BA0268-1[PNG1].png,/BA/BA0268/BA0268-1[PNG1].png,/BA/BA0268/BA0268-2[PNG].png,/BA/BA0268/BA0268-3[PNG].png
6,BA0277,BA0277,1,90816,Beautiful diamond bangle with 2026RD=22.95 18KW_59.50G,/BA/BA0277/BA0277-1[PNG1].png,/BA/BA0277/BA0277-1[PNG1].png,/BA/BA0277/BA0277-2[PNG].png,/BA/BA0277/BA0277-3[PNG].png
9,BA0283,BA0283,1,45677.28,Beautiful diamond bangle with 821RD=8.95 652MSAP=35.85 18KW_109.00G,/BA/BA0283/BA0283-1[PNG1].png,/BA/BA0283/BA0283-1[PNG1].png,/BA/BA0283/BA0283-2[PNG].png,/BA/BA0283/BA0283-3[PNG].png
9,BA0285,BA0285,1,34351.68,Beautiful sapphire bangle with 1029RD=9.45 316MSAP=14.60 18KW_91.50G,/BA/BA0285/BA0285-1[PNG1].png,/BA/BA0285/BA0285-1[PNG1].png,/BA/BA0285/BA0285-2[PNG].png,/BA/BA0285/BA0285-3[PNG].png
6,BA0287,BA0287,1,32472,Beautiful diamond bangle with 2026RD=24.35 18KW_59.50G,/BA/BA0287/BA0287-1[PNG1].png,/BA/BA0287/BA0287-1[PNG1].png,/BA/BA0287/BA0287-2[PNG].png,/BA/BA0287/BA0287-3[PNG].png
9,BA0291,BA0291,1,30624,Beautiful ruby bangle with 693RD=5.55 1333RUB=20.95 18KW_59.50G,/BA/BA0291/BA0291-1[PNG1].png,/BA/BA0291/BA0291-1[PNG1].png,/BA/BA0291/BA0291-2[PNG].png,/BA/BA0291/BA0291-3[PNG].png
6,BA0292,BA0292,1,46992,Beautiful diamond bangle with  2028RD=26.65 18KW_49.50G,/BA/BA0292/BA0292-1[PNG1].png,/BA/BA0292/BA0292-1[PNG1].png,/BA/BA0292/BA0292-2[PNG].png,/BA/BA0292/BA0292-3[PNG].png
9,BA0293,BA0293,1,55440,Beautiful sapphire bangle with 706RD=9.30 174YSAP=35.70 18KW_54.00G,/BA/BA0293/BA0293-1[PNG1].png,/BA/BA0293/BA0293-1[PNG1].png,/BA/BA0293/BA0293-2[PNG].png,/BA/BA0293/BA0293-3[PNG].png
9,BA0294,BA0294,1,31801.44,Beautiful sapphire bangle with 634RD=8.85 1039YSAP=17.50 18KY=67.50G,/BA/BA0294/BA0294-1[PNG1].png,/BA/BA0294/BA0294-1[PNG1].png,/BA/BA0294/BA0294-2[PNG].png,/BA/BA0294/BA0294-3[PNG].png
6,BA0295,BA0295,1,44161.92,Beautiful diamond bangle with 591RD=18.30 18KW_31.00G,/BA/BA0295/BA0295-1[PNG1].png,/BA/BA0295/BA0295-1[PNG1].png,/BA/BA0295/BA0295-2[PNG].png,/BA/BA0295/BA0295-3[PNG].png
6,BA0296,BA0296,1,44161.92,Beautiful diamond bangle with 591RD=18.30 18KR_31.00G,/BA/BA0296/BA0296-1[PNG1].png,/BA/BA0296/BA0296-1[PNG1].png,/BA/BA0296/BA0296-2[PNG].png,/BA/BA0296/BA0296-3[PNG].png
6,BA0301,BA0301,1,107939.04,Beautiful diamond bangle with 2604RD=57.20 18KW_94.50G,/BA/BA0301/BA0301-1[PNG1].png,/BA/BA0301/BA0301-1[PNG1].png,/BA/BA0301/BA0301-2[PNG].png,/BA/BA0301/BA0301-3[PNG].png
9,BA0303,BA0303,1,30624,Beautiful diamond bangle with 693RD=5.55 1333YSAP=20.95 18KW_59.50G,/BA/BA0303/BA0303-1[PNG1].png,/BA/BA0303/BA0303-1[PNG1].png,/BA/BA0303/BA0303-2[PNG].png,/BA/BA0303/BA0303-3[PNG].png
9,BA0308,BA0308,1,52800,Beautiful sapphire bangle with 597RD=7.80 160SAP=37.00 18KW_56.50G,/BA/BA0308/BA0308-1[PNG1].png,/BA/BA0308/BA0308-1[PNG1].png,/BA/BA0308/BA0308-2[PNG].png,/BA/BA0308/BA0308-3[PNG].png
9,BA0314,BA0314,1,44880,Beautiful sapphire bangle with 634RD=8.85 1039YSAP=17.50 18KR_56.50G,/BA/BA0314/BA0314-1[PNG1].png,/BA/BA0314/BA0314-1[PNG1].png,/BA/BA0314/BA0314-2[PNG].png,/BA/BA0314/BA0314-3[PNG].png
6,BA0318,BA0318,1,49104,Beautiful diamond bangle with 943RD=21.95 18KW_66.50G,/BA/BA0318/BA0318-1[PNG1].png,/BA/BA0318/BA0318-1[PNG1].png,/BA/BA0318/BA0318-2[PNG].png,/BA/BA0318/BA0318-3[PNG].png
6,BA0319,BA0319,1,42979.2,Beautiful diamond bangle with 591RD=18.30 18KY_31.00G,/BA/BA0319/BA0319-1[PNG1].png,/BA/BA0319/BA0319-1[PNG1].png,/BA/BA0319/BA0319-2[PNG].png,/BA/BA0319/BA0319-3[PNG].png
6,BA0325,BA0325,1,27561.6,Beautiful diamond bangle with 861RD=4.90 18KW_78.00G,/BA/BA0325/BA0325-1[PNG1].png,/BA/BA0325/BA0325-1[PNG1].png,/BA/BA0325/BA0325-2[PNG].png,/BA/BA0325/BA0325-3[PNG].png
